"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"HES4",852.601940438663,-0.254914001834324,0.116488458816344,-2.18723493179433,0.0287253780376088,0.445051857062686
"ISG15",3033.87497301393,-0.108237850381958,0.142193396577929,-0.761435299086763,0.446397110350892,0.999375174599906
"AGRN",5580.25556972433,-0.15952132874344,0.0633506650260695,-2.51799802775379,0.011802398194024,0.278697085412647
"RNF223",57.4612833522796,-0.0679495013351448,0.109890940538855,-0.617132124776502,0.537147581005869,NA
"C1orf159",583.12170487988,0.110119248376908,0.128838811772576,0.854789441875884,0.392667724270553,0.999375174599906
"MIR200B",0.644310125473665,-0.0101550691797463,0.0172611101353646,-0.59517556595065,0.5517261212488,NA
"MIR200A",1.53993763357527,-0.0398514534629697,0.0381664791991795,-1.12489580202226,0.260633191097617,NA
"MIR429",8.23435787692241,0.00299989010438886,0.0568439053535964,0.0519131049071572,0.958597932150902,NA
"TTLL10",2.7535960067977,0.0344325293091735,0.04017992701439,0.914838621943965,0.360276355893156,NA
"TNFRSF18",721.773727901355,0.0553357672774606,0.113734914644912,0.486746420837814,0.626438044091283,0.999375174599906
"TNFRSF4",2.23932854121006,0.0183657614780824,0.0483632297535889,0.376093477767543,0.706847402972276,NA
"SDF4",6708.64179155994,0.00515447130524776,0.131033696065906,0.0393414823853016,0.968618134039945,0.999375174599906
"B3GALT6",460.379416912464,0.0244424075238953,0.117673546025139,0.207646780901882,0.835504774506508,0.999375174599906
"FAM132A",17.5505769955514,0.00633325366655793,0.0709719666037313,0.0893078648393214,0.928837243810455,NA
"UBE2J2",1975.20244051942,-0.192934652899821,0.0719864130597558,-2.68016336797771,0.00735862371023019,0.213768018782187
"SCNN1D",45.6545783561549,-0.0251985794451684,0.10876174441817,-0.230644108347492,0.817591297812613,NA
"ACAP3",830.962880225702,-0.360238795471048,0.116289745167851,-3.09616678999932,0.001960400565777,0.0921287025159021
"PUSL1",1254.86810010248,-0.0298730080585467,0.119690388352533,-0.249681480105727,0.802833681412959,0.999375174599906
"CPSF3L",3896.40655981062,-0.0244416374323928,0.112455812170243,-0.217374602203891,0.827916422498526,0.999375174599906
"MIR6727",5.08732760839968,0.0177128526259747,0.0385984668172179,0.465839490686025,0.641330395708703,NA
"CPTP",539.10238839076,0.173048703735837,0.125134044814344,1.38231583693756,0.166874745378566,0.945894898194603
"TAS1R3",6.04196264440231,-0.0101996166560798,0.0321547618070524,-0.319812210943244,0.749110690399835,NA
"DVL1",7427.20962259892,-0.151377423592204,0.0839724105678417,-1.8027722065097,0.071423996820412,0.669311970204184
"MIR6808",27.8659320049714,-0.0453414372705555,0.0564963295995849,-0.834965198730694,0.403737303188406,NA
"MXRA8",99.4134160167298,-0.0263167536719985,0.115129430372514,-0.227713779786068,0.81986875913588,NA
"AURKAIP1",9500.6119997427,-0.00421127365405412,0.145288009823391,-0.0289862227404128,0.976875578638845,0.999375174599906
"CCNL2",5092.82923365522,-0.138106336811213,0.121005621045638,-1.14147422979703,0.253672630064869,0.999375174599906
"LOC148413",1198.37134276929,0.049571402855402,0.106880659045427,0.463917670140951,0.642706732425842,0.999375174599906
"MRPL20",2973.84745436782,-0.192593395322776,0.0832923451204585,-2.31232092643585,0.0207600043114693,0.371125000152729
"ANKRD65",2.26408983969442,-0.0145065919157886,0.0243209394523177,-0.691944882706805,0.488971943025429,NA
"TMEM88B",0.326657263005131,-0.000424258218578362,0.0227966807648651,-0.0158273632333274,0.987372118465586,NA
"LOC102724312",22.3754648533102,0.0481562188942391,0.0723226472087735,0.677149134889904,0.498311336638359,NA
"VWA1",1712.48001958034,-0.033623222416502,0.142989220170284,-0.235142867273929,0.814097848024047,0.999375174599906
"ATAD3C",2386.13000498559,-0.0155609227951593,0.0697721546120867,-0.223528360391369,0.823124313047356,0.999375174599906
"ATAD3B",8663.1947511518,-0.0459514059367108,0.124551099430387,-0.369200627829108,0.711978187942773,0.999375174599906
"ATAD3A",8877.69710787375,-0.0386060166312132,0.125579125989106,-0.307577058171982,0.758404179377675,0.999375174599906
"TMEM240",13.3692967762839,0.0364073815374125,0.0723600324746895,0.500684348428243,0.616593289216019,NA
"SSU72",2857.45675632142,-0.00127898659847105,0.0755082600483848,-0.0169391072724277,0.986485194144735,0.999375174599906
"C1orf233",168.457630717396,0.0725350748241511,0.140536864057504,0.516616234447518,0.605424080625557,NA
"MIB2",1637.12756764842,-0.18744950398203,0.0746072763696665,-2.51237584673286,0.0119921293206819,0.278697085412647
"MMP23B",71.7218366449194,-0.0341129609574547,0.0824196429678348,-0.417817340461331,0.676080671613205,NA
"MMP23A",130.484204249689,-0.0306571651187697,0.0850890867450395,-0.362643647818219,0.716871100411648,NA
"CDK11B",7717.85542365429,-0.00957872789908539,0.122655772724817,-0.0781046207345541,0.937744831610752,0.999375174599906
"SLC35E2B",1514.71883257138,0.0770745269141147,0.145130782463606,0.531478093175866,0.595087518085851,0.999375174599906
"CDK11A",5534.21094526321,-0.00112150695616092,0.0817214258282158,-0.0137187946460827,0.989054328899077,0.999375174599906
"SLC35E2",882.099145026705,0.0287145131808865,0.123482688079357,0.232823553795891,0.815898422183177,0.999375174599906
"NADK",2984.09979250343,0.0101300998604592,0.138537564996506,0.0731428488755258,0.941692444480196,0.999375174599906
"GNB1",12013.5749845215,-0.0509864323374985,0.12291734988858,-0.414782038324648,0.678301469599694,0.999375174599906
"CALML6",12.489899092915,0.121689604860482,0.0653319998049909,2.20466699934025,0.0274774704836186,NA
"TMEM52",358.455724817171,-0.109797154956431,0.130389767230823,-0.842660653162707,0.399418258785846,0.999375174599906
"CFAP74",33.1613653775622,-0.0891217197449396,0.110275111248831,-0.810737975704237,0.417516159995946,NA
"GABRD",462.464373074815,-0.070445471152965,0.1241520799505,-0.567694907708362,0.570242149931822,0.999375174599906
"PRKCZ",1415.11748835506,-0.0382071559243407,0.138101010972413,-0.276804309884087,0.781930371627476,0.999375174599906
"FAAP20",1618.73989683546,-0.0630271879349415,0.122231852438467,-0.515820748153588,0.605979609996552,0.999375174599906
"SKI",2564.88093062703,-0.039490723543523,0.119524888413678,-0.330320915964389,0.741157490425322,0.999375174599906
"MORN1",207.948997028788,0.230488956361222,0.143779756580629,1.60395630910239,0.108723683490349,NA
"LOC100129534",82.2324172204901,0.00921888271256382,0.129310381419471,0.0710762976732517,0.943337032167877,NA
"RER1",4541.71147506619,0.0035480968787149,0.0795810633145056,0.0445834397633025,0.964439342688374,0.999375174599906
"PEX10",961.274941277119,-0.023721874195042,0.128692857108397,-0.184373162751066,0.853720721917119,0.999375174599906
